,content,title,authors,last_modified_by,created_date,modified_date,location,category,summary
11,"rate,centparticipation,rate centparticipation,centparticipation rate,unemployment,unemployment rate,force,labour,cent,year,old,labour force,cent year,year old,old unemployment,survey,rate unemployment,force survey,rate cent,ab,southlabour,rate rate,rate labour,force labour,survey ab,ab labour,survey southlabour,southlabour force,force cent",lmip.gov.au_portalfile.axd_fieldid=2789955&.docx,,,2016-11-24 01:12:00,2016-11-24 01:14:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\lmip.gov.au_portalfile.axd_fieldid=2789955&.docx,confidential,"{'text_contents': {'tags': ['unemployment rate', 'rate', '000)19.316.417.3unemployment rate', 'cent)9.1%7.8%8.1%participation rate', 'cent)8.1%6.9%7.4%participation rate', 'cent)6.1%5.1%5.1%participation rate', 'cent)6.9%7.3%6.7%participation rate', 'cent)7.6%6.8%6.9%participation rate', 'cent)8.8%5.1%4.5%participation rate', 'cent)5.2%7.5%7.5%participation rate', 'cent)7.2%4.4%4.7%participation rate', 'cent)7.2%5.3%5.3%participation rate', 'cent)7.5%6.5%6.5%participation rate', '000)12.813.612.7unemployment rate', 'labour force', 'labour force survey', 'abs labour force survey', 'southlabour force', 'cent)61.9%61.1%61.5%15-24 year old unemployment rate', 'cent)58.3%60.6%60.8%15-24 year old unemployment rate', 'cent)66.5%65.7%65.6%15-24 year old unemployment rate']}}"
12,"new,nsw,project,government,business,south,department,sydney,new business,nsw new,cruise,ship,coal,mining,employment,medium,release,abc,east,clubhouse,arrival,incubator,regional,recruit,challenger,australian,large,residential,change,room,west,computerised,technology,morning,herald,nsw project,project nsw,nsw government,government new,business new,new cruise,cruise ship,ship nsw,nsw coal,coal mining,mining employment,employment nsw,nsw medium,medium release,release abc,abc south,south east,east nsw,new clubhouse,clubhouse nsw,nsw department,department new,new arrival,arrival new,business incubator,incubator regional,regional nsw,new recruit,recruit new,new challenger,challenger australian,australian government,government department,department large,large residential,residential project,project new,new change,change room,room south,south west,west sydney,sydney new,new computerised,computerised technology,technology sydney,sydney morning,morning herald,herald nsw",lmip.gov.au_portalfile.axd_fieldid=2790220&.docx,rs0066,Richard Smith,2016-11-10 23:24:00,2016-11-10 23:24:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\lmip.gov.au_portalfile.axd_fieldid=2790220&.docx,confidential,"{'text_contents': {'tags': ['nsw project', 'nsw government', 'new businesses', 'new cruise ships', 'nsw coal mining employment', 'nsw media release', 'abc south east nsw', 'new clubhouse', 'nsw department', 'new arrivals', 'new business incubators', 'regional nsw', 'new recruits', 'new challengers', 'australian government department', 'large residential projects', 'new change rooms', 'south west sydney', 'new computerised technology', 'sydney morning herald', 'nsw']}}"
13,"nsw,new,government,nsw government,west,sydney,planning,greater,employment,regionthe,station,regional,government nsw,nsw planning,greater west,west employment,employment regionthe,regionthe nsw,government new,station sydney,sydney west,nsw new,development,project,medium,minister,department,south,walesthe,release,store,morning,herald,joint,panel,railway,urbangrowth,northern,ballina,housing,estate,new development,development project,project nsw,planning nsw,government medium,medium nsw,planning minister,minister nsw,nsw department,department greater,new south,south walesthe,walesthe nsw,new release,release new,new store,store new,new station,sydney morning,morning herald,herald sydney,west joint,joint regional,regional planning,planning panel,panel sydney,sydney greater,new railway,railway station,west urbangrowth,urbangrowth nsw,nsw northern,northern nsw,nsw regional,regional nsw,new ballina,ballina housing,housing estate",lmip.gov.au_portalfile.axd_fieldid=2795235&.docx,rs0066,John Morris,2017-01-24 22:15:00,2017-01-24 22:15:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\lmip.gov.au_portalfile.axd_fieldid=2795235&.docx,confidential,"{'text_contents': {'tags': ['new development projects', 'nsw government', 'nsw planning', 'nsw government media', 'nsw planning minister', 'nsw department', 'greater west employment regionthe nsw government', 'new south walesthe nsw government', 'new releases', 'new stores', 'new stations', 'sydney morning herald', 'sydney west joint regional planning panel', '2016)sydney greater west employment regionthe nsw government', 'nsw', 'new railway stations', 'sydney west', 'urbangrowth nsw', 'northern nsw', 'regional nsw', 'new ballina housing estates']}}"
14,"project,new,sydney,government,act,apartment,hotel,act government,apartment project,public,space,home,medium,release,nsw,life,australian,financial,review,april,construction,telecommunication,role,council,morning,herald,major,march,south,west,disability,specialist,worker,oxford,central,new public,public space,space new,new home,home act,government medium,medium release,release nsw,nsw government,government apartment,project new,new life,life hotel,hotel project,project australian,australian financial,financial review,review april,april construction,construction new,new telecommunication,telecommunication role,role sydney,sydney council,council sydney,sydney morning,morning herald,herald sydney,sydney hotel,hotel major,major project,project project,project march,march south,south west,west sydney,sydney new,new disability,disability specialist,specialist worker,worker project,project oxford,oxford central,central apartment,project act",lmip.gov.au_portalfile.axd_fieldid=2795707&.docx,rs0066,Richard Smith,2017-06-06 01:16:00,2017-06-06 01:16:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\lmip.gov.au_portalfile.axd_fieldid=2795707&.docx,confidential,"{'text_contents': {'tags': ['new public spaces', 'new homes', 'act government media release', 'nsw government', 'apartment projects', 'new life', 'hotel projects', 'australian financial review', 'april construction', 'new telecommunications roles', 'sydney council', 'sydney morning herald', 'sydney hotels', 'major projects', 'projects', 'march', 'south west sydney', 'new disability specialist workers', 'such projects', 'oxford central apartment project', 'act government']}}"
15,"labour,force,labour force,education,nsw,cent,employment,young,people,young people,people labour,jobactive,region,status,fulltime,jobactive employment,employment region,census,selected,youth,datafor,share,unemployed,statusjobactive,regionswhile,survey,total,centthe,participation,rate,tertiary,leonswemploymentgovaunsw,economics,office,attendance,per,cent census,census selected,selected youth,youth labour,force datafor,datafor nsw,nsw cent,cent share,share nsw,nsw jobactive,region unemployed,unemployed young,force statusjobactive,statusjobactive employment,region jobactive,employment regionswhile,regionswhile young,force young,force survey,survey nsw,nsw total,total nsw,nsw centthe,centthe labour,force participation,participation rate,rate labour,force status,status fulltime,fulltime education,education fulltime,fulltime tertiary,tertiary education,education leonswemploymentgovaunsw,leonswemploymentgovaunsw labour,labour economics,economics office,office education,education status,status education,education attendance,attendance education,education per,per cent",lmip.gov.au_portalfile.axd_fieldid=2843738&.docx,"SMITH,Richard (ESB)","MORRIS,John",2018-01-10 05:31:00,2018-01-16 00:25:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\lmip.gov.au_portalfile.axd_fieldid=2843738&.docx,confidential,"{'text_contents': {'tags': ['cent', 'census selected youth labour force datafor nsw', 'cent share', 'nsw jobactive employment regions', 'unemployed young people', 'labour force status2jobactive employment region', 'jobactive employment regionswhile young people', 'labour force', 'young people', 'labour force survey', 'nsw', 'total nsw', 'cent).the labour force participation rate', 'labour force status', 'full-time education', 'full-time tertiary education', 'leonsw@employment.gov.aunsw labour economics office', 'education status', 'education attendance', 'education', '17 per cent']}}"
16,"nsw,new,planning,government,commission,nsw government,planning commission,independent,independent planning,space,medium,construction,project,retail,facility,government independent,commission medium,medium nsw,commission new,nsw planning,construction project,nsw independent,development,public,station,open,wwwnswgovauimprovingnswprojectsandinitiativeswesternsydneycitydealthe,wwweccomaunewsthe,infrastructure,store,commercial,opportunity,future,additional,new development,development nsw,government nsw,new space,space nsw,planning nsw,commission construction,project new,new public,public space,space new,new retail,retail facility,facility nsw,new station,station new,new open,open space,space wwwnswgovauimprovingnswprojectsandinitiativeswesternsydneycitydealthe,wwwnswgovauimprovingnswprojectsandinitiativeswesternsydneycitydealthe nsw,government wwweccomaunewsthe,wwweccomaunewsthe nsw,government infrastructure,infrastructure nsw,nsw new,new store,store new,new commercial,commercial retail,retail opportunity,opportunity future,future construction,project additional,additional new,new facility",lmip.gov.au_portalfile.axd_fieldid=3129410&.docx,"SMITH,Richard","MORRIS,John",2018-10-17 07:19:00,2018-10-19 03:39:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\lmip.gov.au_portalfile.axd_fieldid=3129410&.docx,confidential,"{'text_contents': {'tags': ['new developments', 'nsw government', 'nsw government independent planning commission media', 'nsw government independent planning commission', 'new space', 'nsw planning', 'nsw planning commission', 'construction projects', 'new public spaces', 'new retail facilities', 'nsw independent planning commission media', 'nsw independent planning commission', 'new stations', 'new open space', 'www.nsw.gov.au/improving-nsw/projects-and-initiatives/western-sydney-city-deal/)the nsw government', 'www.2ec.com.au/news)the nsw government', 'infrastructure nsw', 'new stores', 'new commercial retail opportunities', 'future construction projects', 'additional new facilities']}}"
17,"nsw,project,government,nsw government,infrastructure,planning,health,government nsw,health infrastructure,web,construction,site,project web,construction nsw,nsw planning,site nsw,nsw health,sitethe,sydney,metro,panel,register,department,member,new,renewable,energy,south,coastthe,news,independent,commission,minister,export,port,web sitethe,sitethe nsw,government project,project construction,planning sydney,sydney metro,metro construction,planning panel,panel register,register project,web site,nsw infrastructure,infrastructure nsw,nsw department,department health,infrastructure project,project site,nsw nsw,government member,member new,new renewable,renewable energy,energy project,project nsw,infrastructure south,south coastthe,coastthe nsw,infrastructure news,news nsw,nsw independent,independent planning,planning commission,commission nsw,nsw minister,minister nsw,nsw export,export nsw,nsw port",lmip.gov.au_portalfile.axd_fieldid=3189895&.docx,"SMITH,Richard","MORRIS,John",2019-02-12 04:58:00,2019-02-14 22:55:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\lmip.gov.au_portalfile.axd_fieldid=3189895&.docx,confidential,"{'text_contents': {'tags': ['project web site.)the nsw government', 'project construction', 'nsw government', 'nsw planning', 'sydney metro construction', 'nsw planning panels register', 'project web site', 'nsw infrastructure', 'nsw department', 'health infrastructure project site', 'nsw', 'nsw government member', 'new renewable energy projects', 'nsw health infrastructure', 'south coastthe nsw government', 'nsw health infrastructure news', 'nsw independent planning commission', 'nsw minister', 'nsw exports', 'nsw governments', 'nsw ports']}}"
18,"new,medium,nsw,government,project,facility,release,facility new,nsw government,medium release,art,space,tower,residential,wwwrobertspizzarotticomprojectsthe,dwelling,day,amenity,theatre,link,regional,gallery,seating,guardrail,stair,act,solar,new facility,new medium,medium new,new art,art facility,new space,space nsw,government nsw,nsw medium,release new,new tower,tower residential,residential project,project wwwrobertspizzarotticomprojectsthe,wwwrobertspizzarotticomprojectsthe nsw,government new,new dwelling,dwelling new,new day,day new,new amenity,amenity new,new theatre,theatre new,new link,link regional,regional project,project new,new gallery,gallery new,new seating,seating new,new guardrail,guardrail new,new stair,stair act,act government,government medium,release solar,solar project",lmip.gov.au_portalfile.axd_fieldid=3190104&.docx,"SMITH,Richard","MORRIS,John",2019-04-17 07:17:00,2019-05-31 07:29:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\lmip.gov.au_portalfile.axd_fieldid=3190104&.docx,confidential,"{'text_contents': {'tags': ['new facilities', 'new media', 'new arts facilities', 'new space', 'nsw government', 'nsw media release', 'new towers', 'residential projects', 'www.robertspizzarotti.com/projects)the nsw government', 'new dwellings', 'new day', 'new amenities', 'new theatres', 'new links', 'regional projects', 'new galleries', 'new seating', 'new guardrail', 'new stairs', 'act government media release', 'solar projects']}}"
19,"new,planning,sydney,panel,planning panel,nsw,independent,commission,panel sydney,independent planning,planning commission,theatre,construction,government,nsw government,government independent,north,western,south,central,city,station,eastern,work,shop,medium,picnic,area,groundwater,infrastructure,operating,link,road,staff,accommodation,job,residential,project,change,room,underground,platform,sydney north,north planning,sydney western,western planning,sydney south,south planning,sydney central,central city,city planning,panel new,new station,station new,new theatre,theatre sydney,sydney eastern,eastern planning,panel construction,construction work,work new,new shop,shop nsw,commission nsw,commission medium,medium new,new picnic,picnic area,area new,new groundwater,groundwater infrastructure,infrastructure new,new operating,operating theatre,theatre nsw,nsw independent,commission new,new link,link road,road new,new staff,staff accommodation,accommodation construction,construction job,job residential,residential project,project new,new change,change room,room new,new underground,underground platform",lmip.gov.au_portalfile.axd_fieldid=3191392&.docx,"SMITH,Richard","SMITH,Richard",2019-09-16 04:09:00,2019-09-24 06:47:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\lmip.gov.au_portalfile.axd_fieldid=3191392&.docx,confidential,"{'text_contents': {'tags': ['sydney north planning panel', 'sydney western planning panel', 'sydney south planning panel', 'sydney central city planning panel', 'new stations', 'new theatres', 'sydney eastern planning panel', 'construction work', 'new shops', 'nsw government independent planning commission', 'nsw government independent planning commission media', 'new picnic areas', 'new groundwater infrastructure', 'new operating theatres', 'nsw independent planning commission', 'new link road', 'new staff accommodation', 'construction jobs', 'residential projects', 'new change rooms', 'new underground platforms']}}"
20,"new,nsw,government,nsw government,medium,space,track,construction,work,project,government medium,medium new,track new,project new,public,station,commercial,retail,council,office,rail,dwelling,bridge,release,health,infrastructure,news,main,industrial,land,staff,accommodation,solar,power,underground,platform,independent,planning,commission,qt,hotel,government new,new public,public space,space new,new station,station nsw,new track,new commercial,commercial retail,retail space,space construction,construction work,work project,new council,council office,office new,new rail,rail track,new dwelling,dwelling new,new bridge,bridge nsw,medium release,release nsw,government health,health infrastructure,infrastructure news,news main,main work,work construction,construction new,new industrial,industrial land,land new,new staff,staff accommodation,accommodation solar,solar power,power project,new underground,underground platform,platform nsw,government independent,independent planning,planning commission,commission medium,new qt,qt hotel",lmip.gov.au_portalfile.axd_fieldid=3193780&.docx,"MORRIS,John","MORRIS,John",2020-07-21 06:04:00,2020-07-21 06:04:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\lmip.gov.au_portalfile.axd_fieldid=3193780&.docx,confidential,"{'text_contents': {'tags': ['nsw government', 'new public spaces', 'new stations', 'nsw government media', 'new track', 'new commercial retail spaces', 'construction works', 'projects', 'new council offices', 'new rail track', 'new dwellings', 'new bridges', 'nsw government media release', 'nsw government health infrastructure news', 'main works construction', 'new industrial land', 'new staff accommodation', 'solar power project', 'new underground platforms', 'nsw government independent planning commission media', 'new qt hotel']}}"
